[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001279s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001126s ]
[ 2012-08-21T14:30:13+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001369s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.000776s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000971s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000667s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000832s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.091099s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: SELECT * FROM `user` WHERE ( `account` = 'admin' ) AND ( `status` > 0 ) LIMIT 1   [ RunTime:0.004129s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | SQL: UPDATE `user` SET `last_login_time`=1345530622,`login_count`=login_count+1,`last_login_ip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.009862s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000690s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000864s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027346s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027534s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run ContentReplace Behavior [ RunTime:0.000563s ]
[ 2012-08-21T14:30:22+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/checkLogin/ | INFO: Run TokenBuild Behavior [ RunTime:0.000693s ]
